diagnosis_id,icd10_code,diagnosis_desc,diagnosis_category,severity,updated_at
D000677,J96.00,Acute respiratory failure unspecified,Respiratory,High,2026-06-06
D000678,E11.65,Type 2 diabetes with hyperglycemia,Endocrine,Medium,2026-06-06
D000679,A41.9,Sepsis unspecified,Infectious,High,2026-06-06
D000680,N39.0,Urinary tract infection,Renal,Medium,2026-06-06
D000681,J96.00,Acute respiratory failure unspecified,Respiratory,Low,2026-06-06
D000682,G35,Multiple sclerosis,Neurological,Critical,2026-06-06
D000683,G35,Multiple sclerosis,Neurological,Low,2026-06-06
D000684,J96.00,Acute respiratory failure unspecified,Respiratory,High,2026-06-06
D000685,G43.909,Migraine unspecified,Neurological,Medium,2026-06-06
D000686,G35,Multiple sclerosis,Neurological,Low,2026-06-06
D000687,M79.3,Panniculitis,Musculoskeletal,Medium,2026-06-06
D000688,K92.1,Melena,Gastrointestinal,Low,2026-06-06
D000689,E11.65,Type 2 diabetes with hyperglycemia,Endocrine,High,2026-06-06
D000690,K92.1,Melena,Gastrointestinal,Medium,2026-06-06
D000691,I10,Essential hypertension,Cardiovascular,High,2026-06-06
D000692,S72.001,Fracture of femoral head,Musculoskeletal,Low,2026-06-06
D000693,N18.3,Chronic kidney disease stage 3,Renal,Medium,2026-06-06
D000694,E11.65,Type 2 diabetes with hyperglycemia,Endocrine,Low,2026-06-06
D000695,K57.30,Diverticulosis of large intestine,Gastrointestinal,High,2026-06-06
D000696,J18.9,Pneumonia unspecified,Respiratory,Low,2026-06-06
D000697,I50.9,Heart failure unspecified,Cardiovascular,Critical,2026-06-06
D000698,S72.001,Fracture of femoral head,Musculoskeletal,Critical,2026-06-06
D000699,J96.00,Acute respiratory failure unspecified,Respiratory,Critical,2026-06-06
D000700,M79.3,Panniculitis,Musculoskeletal,Critical,2026-06-06
D000701,K57.30,Diverticulosis of large intestine,Gastrointestinal,Critical,2026-06-06
D000702,J18.9,Pneumonia unspecified,Respiratory,Critical,2026-06-06
D000703,G35,Multiple sclerosis,Neurological,Medium,2026-06-06
D000704,J96.00,Acute respiratory failure unspecified,Respiratory,Critical,2026-06-06
D000705,I10,Essential hypertension,Cardiovascular,Low,2026-06-06
D000706,N39.0,Urinary tract infection,Renal,Low,2026-06-06
D000707,K92.1,Melena,Gastrointestinal,High,2026-06-06
D000708,J18.9,Pneumonia unspecified,Respiratory,Low,2026-06-06
D000709,K92.1,Melena,Gastrointestinal,Medium,2026-06-06
D000710,A41.9,Sepsis unspecified,Infectious,Medium,2026-06-06
D000711,I10,Essential hypertension,Cardiovascular,Low,2026-06-06
D000712,K92.1,Melena,Gastrointestinal,Critical,2026-06-06
D000713,I21.0,ST elevation myocardial infarction,Cardiovascular,Critical,2026-06-06
D000714,J96.00,Acute respiratory failure unspecified,Respiratory,Critical,2026-06-06
D000715,J96.00,Acute respiratory failure unspecified,Respiratory,Low,2026-06-06
D000716,J18.9,Pneumonia unspecified,Respiratory,High,2026-06-06
D000717,E11.9,Type 2 diabetes without complications,Endocrine,Medium,2026-06-06
D000718,B97.29,Other coronavirus as cause of disease,Infectious,High,2026-06-06
D000719,N39.0,Urinary tract infection,Renal,High,2026-06-06
D000720,E11.65,Type 2 diabetes with hyperglycemia,Endocrine,Low,2026-06-06
D000721,I50.9,Heart failure unspecified,Cardiovascular,Critical,2026-06-06
D000722,G35,Multiple sclerosis,Neurological,Critical,2026-06-06
D000723,J44.1,COPD with acute exacerbation,Respiratory,Low,2026-06-06
D000724,K57.30,Diverticulosis of large intestine,Gastrointestinal,Low,2026-06-06
D000725,B97.29,Other coronavirus as cause of disease,Infectious,Low,2026-06-06
D000726,N39.0,Urinary tract infection,Renal,Critical,2026-06-06
D000727,E11.9,Type 2 diabetes without complications,Endocrine,Low,2026-06-06
D000728,I21.0,ST elevation myocardial infarction,Cardiovascular,Medium,2026-06-06
D000729,J96.00,Acute respiratory failure unspecified,Respiratory,High,2026-06-06
D000730,I10,Essential hypertension,Cardiovascular,Critical,2026-06-06
D000731,J18.9,Pneumonia unspecified,Respiratory,High,2026-06-06
D000732,A41.9,Sepsis unspecified,Infectious,Critical,2026-06-06
D000733,M79.3,Panniculitis,Musculoskeletal,High,2026-06-06
D000734,I10,Essential hypertension,Cardiovascular,Critical,2026-06-06
D000735,J96.00,Acute respiratory failure unspecified,Respiratory,High,2026-06-06
D000736,A41.9,Sepsis unspecified,Infectious,High,2026-06-06
D000737,J96.00,Acute respiratory failure unspecified,Respiratory,Critical,2026-06-06
D000738,I50.9,Heart failure unspecified,Cardiovascular,High,2026-06-06
D000739,S72.001,Fracture of femoral head,Musculoskeletal,Critical,2026-06-06
D000740,N18.3,Chronic kidney disease stage 3,Renal,Medium,2026-06-06
D000741,N18.3,Chronic kidney disease stage 3,Renal,Low,2026-06-06
D000742,J44.1,COPD with acute exacerbation,Respiratory,Low,2026-06-06
D000743,I10,Essential hypertension,Cardiovascular,High,2026-06-06
D000744,F41.1,Generalized anxiety disorder,Mental Health,Critical,2026-06-06
D000745,G35,Multiple sclerosis,Neurological,Medium,2026-06-06
D000746,F41.1,Generalized anxiety disorder,Mental Health,Low,2026-06-06
D000747,A41.9,Sepsis unspecified,Infectious,Critical,2026-06-06
D000748,F41.1,Generalized anxiety disorder,Mental Health,Critical,2026-06-06
D000749,G35,Multiple sclerosis,Neurological,Medium,2026-06-06
D000750,M79.3,Panniculitis,Musculoskeletal,High,2026-06-06
D000751,I10,Essential hypertension,Cardiovascular,Critical,2026-06-06
D000752,I50.9,Heart failure unspecified,Cardiovascular,Medium,2026-06-06
D000753,J18.9,Pneumonia unspecified,Respiratory,Critical,2026-06-06
D000754,J96.00,Acute respiratory failure unspecified,Respiratory,Medium,2026-06-06
D000755,E11.9,Type 2 diabetes without complications,Endocrine,Medium,2026-06-06
D000756,J44.1,COPD with acute exacerbation,Respiratory,Low,2026-06-06
D000757,B97.29,Other coronavirus as cause of disease,Infectious,Low,2026-06-06
D000758,B97.29,Other coronavirus as cause of disease,Infectious,Medium,2026-06-06
D000759,J44.1,COPD with acute exacerbation,Respiratory,High,2026-06-06
D000760,K92.1,Melena,Gastrointestinal,Low,2026-06-06
D000761,I10,Essential hypertension,Cardiovascular,Critical,2026-06-06
D000762,F41.1,Generalized anxiety disorder,Mental Health,Critical,2026-06-06
D000763,F41.1,Generalized anxiety disorder,Mental Health,High,2026-06-06
D000764,N18.3,Chronic kidney disease stage 3,Renal,Critical,2026-06-06
D000765,I21.0,ST elevation myocardial infarction,Cardiovascular,Critical,2026-06-06
D000766,J18.9,Pneumonia unspecified,Respiratory,Critical,2026-06-06
D000767,J44.1,COPD with acute exacerbation,Respiratory,Medium,2026-06-06
D000768,G35,Multiple sclerosis,Neurological,Low,2026-06-06
D000769,J18.9,Pneumonia unspecified,Respiratory,Low,2026-06-06
D000770,N39.0,Urinary tract infection,Renal,High,2026-06-06
D000771,B97.29,Other coronavirus as cause of disease,Infectious,High,2026-06-06
D000772,A41.9,Sepsis unspecified,Infectious,Critical,2026-06-06
D000773,G35,Multiple sclerosis,Neurological,Critical,2026-06-06
D000774,I50.9,Heart failure unspecified,Cardiovascular,Medium,2026-06-06
D000775,N18.3,Chronic kidney disease stage 3,Renal,Critical,2026-06-06
D000776,J44.1,COPD with acute exacerbation,Respiratory,Critical,2026-06-06
D000777,I50.9,Heart failure unspecified,Cardiovascular,Critical,2026-06-06
D000778,K92.1,Melena,Gastrointestinal,Medium,2026-06-06
D000779,I50.9,Heart failure unspecified,Cardiovascular,Critical,2026-06-06
D000780,N18.3,Chronic kidney disease stage 3,Renal,High,2026-06-06
D000781,I21.0,ST elevation myocardial infarction,Cardiovascular,High,2026-06-06
D000782,N39.0,Urinary tract infection,Renal,High,2026-06-06
D000783,N18.3,Chronic kidney disease stage 3,Renal,Critical,2026-06-06
D000784,J18.9,Pneumonia unspecified,Respiratory,Medium,2026-06-06
D000785,J44.1,COPD with acute exacerbation,Respiratory,High,2026-06-06
D000786,S72.001,Fracture of femoral head,Musculoskeletal,High,2026-06-06
D000787,N18.3,Chronic kidney disease stage 3,Renal,Critical,2026-06-06
D000788,G43.909,Migraine unspecified,Neurological,Low,2026-06-06
D000789,E11.9,Type 2 diabetes without complications,Endocrine,Critical,2026-06-06
D000790,E11.9,Type 2 diabetes without complications,Endocrine,Critical,2026-06-06
D000791,M79.3,Panniculitis,Musculoskeletal,High,2026-06-06
D000792,I50.9,Heart failure unspecified,Cardiovascular,Medium,2026-06-06
D000793,I10,Essential hypertension,Cardiovascular,High,2026-06-06
D000794,F32.9,Major depressive disorder single episode,Mental Health,Critical,2026-06-06
D000795,J44.1,COPD with acute exacerbation,Respiratory,Low,2026-06-06
D000796,J96.00,Acute respiratory failure unspecified,Respiratory,Medium,2026-06-06
D000797,E11.9,Type 2 diabetes without complications,Endocrine,Low,2026-06-06
D000798,E11.65,Type 2 diabetes with hyperglycemia,Endocrine,Low,2026-06-06
D000799,S72.001,Fracture of femoral head,Musculoskeletal,Low,2026-06-06
D000800,K57.30,Diverticulosis of large intestine,Gastrointestinal,Medium,2026-06-06
D000801,N18.3,Chronic kidney disease stage 3,Renal,High,2026-06-06
D000802,S72.001,Fracture of femoral head,Musculoskeletal,Critical,2026-06-06
D000803,J18.9,Pneumonia unspecified,Respiratory,Low,2026-06-06
D000804,E11.65,Type 2 diabetes with hyperglycemia,Endocrine,High,2026-06-06
D000805,M79.3,Panniculitis,Musculoskeletal,Critical,2026-06-06
D000806,J96.00,Acute respiratory failure unspecified,Respiratory,Critical,2026-06-06
D000807,G35,Multiple sclerosis,Neurological,High,2026-06-06
D000808,K57.30,Diverticulosis of large intestine,Gastrointestinal,Medium,2026-06-06
D000809,N18.3,Chronic kidney disease stage 3,Renal,Low,2026-06-06
D000810,N39.0,Urinary tract infection,Renal,Low,2026-06-06
D000811,A41.9,Sepsis unspecified,Infectious,Low,2026-06-06
D000812,J96.00,Acute respiratory failure unspecified,Respiratory,Medium,2026-06-06
D000813,E11.65,Type 2 diabetes with hyperglycemia,Endocrine,Medium,2026-06-06
D000814,E11.9,Type 2 diabetes without complications,Endocrine,High,2026-06-06
D000815,B97.29,Other coronavirus as cause of disease,Infectious,Low,2026-06-06
D000816,I21.0,ST elevation myocardial infarction,Cardiovascular,Critical,2026-06-06
D000817,J44.1,COPD with acute exacerbation,Respiratory,Medium,2026-06-06
D000818,G43.909,Migraine unspecified,Neurological,Low,2026-06-06
D000819,E11.65,Type 2 diabetes with hyperglycemia,Endocrine,High,2026-06-06
D000820,G43.909,Migraine unspecified,Neurological,High,2026-06-06
D000821,N18.3,Chronic kidney disease stage 3,Renal,Critical,2026-06-06
D000822,A41.9,Sepsis unspecified,Infectious,High,2026-06-06
D000823,S72.001,Fracture of femoral head,Musculoskeletal,High,2026-06-06
D000824,E11.9,Type 2 diabetes without complications,Endocrine,Critical,2026-06-06
D000825,N39.0,Urinary tract infection,Renal,Critical,2026-06-06
D000826,G35,Multiple sclerosis,Neurological,Low,2026-06-06
D000827,I21.0,ST elevation myocardial infarction,Cardiovascular,High,2026-06-06
D000828,F41.1,Generalized anxiety disorder,Mental Health,High,2026-06-06
D000829,N39.0,Urinary tract infection,Renal,Low,2026-06-06
D000830,M79.3,Panniculitis,Musculoskeletal,Low,2026-06-06
D000831,K92.1,Melena,Gastrointestinal,High,2026-06-06
D000832,K92.1,Melena,Gastrointestinal,High,2026-06-06
D000833,N18.3,Chronic kidney disease stage 3,Renal,High,2026-06-06
D000834,E11.9,Type 2 diabetes without complications,Endocrine,Medium,2026-06-06
D000835,F32.9,Major depressive disorder single episode,Mental Health,Medium,2026-06-06
D000836,I50.9,Heart failure unspecified,Cardiovascular,Critical,2026-06-06
D000837,K92.1,Melena,Gastrointestinal,Medium,2026-06-06
D000838,I21.0,ST elevation myocardial infarction,Cardiovascular,Critical,2026-06-06
D000839,N39.0,Urinary tract infection,Renal,High,2026-06-06
D000840,B97.29,Other coronavirus as cause of disease,Infectious,Critical,2026-06-06
D000841,A41.9,Sepsis unspecified,Infectious,Low,2026-06-06
D000842,G35,Multiple sclerosis,Neurological,Medium,2026-06-06
D000843,K92.1,Melena,Gastrointestinal,Medium,2026-06-06
D000844,F41.1,Generalized anxiety disorder,Mental Health,Critical,2026-06-06
D000845,K57.30,Diverticulosis of large intestine,Gastrointestinal,High,2026-06-06
D000846,J96.00,Acute respiratory failure unspecified,Respiratory,Medium,2026-06-06
D000847,N39.0,Urinary tract infection,Renal,Low,2026-06-06
D000848,M79.3,Panniculitis,Musculoskeletal,Medium,2026-06-06
D000849,N18.3,Chronic kidney disease stage 3,Renal,Medium,2026-06-06
D000850,K92.1,Melena,Gastrointestinal,Low,2026-06-06
D000851,E11.65,Type 2 diabetes with hyperglycemia,Endocrine,High,2026-06-06
D000852,E11.65,Type 2 diabetes with hyperglycemia,Endocrine,High,2026-06-06
D000853,B97.29,Other coronavirus as cause of disease,Infectious,High,2026-06-06
D000854,K57.30,Diverticulosis of large intestine,Gastrointestinal,High,2026-06-06
D000855,G35,Multiple sclerosis,Neurological,High,2026-06-06
D000856,S72.001,Fracture of femoral head,Musculoskeletal,Low,2026-06-06
D000857,M79.3,Panniculitis,Musculoskeletal,Low,2026-06-06
D000858,G35,Multiple sclerosis,Neurological,Low,2026-06-06
D000859,M79.3,Panniculitis,Musculoskeletal,Medium,2026-06-06
D000860,F32.9,Major depressive disorder single episode,Mental Health,Low,2026-06-06
D000861,A41.9,Sepsis unspecified,Infectious,High,2026-06-06
D000862,B97.29,Other coronavirus as cause of disease,Infectious,Low,2026-06-06
D000863,J44.1,COPD with acute exacerbation,Respiratory,Medium,2026-06-06
D000864,E11.9,Type 2 diabetes without complications,Endocrine,High,2026-06-06
D000865,B97.29,Other coronavirus as cause of disease,Infectious,Critical,2026-06-06
D000866,J44.1,COPD with acute exacerbation,Respiratory,High,2026-06-06
D000867,J96.00,Acute respiratory failure unspecified,Respiratory,Low,2026-06-06
D000868,M79.3,Panniculitis,Musculoskeletal,High,2026-06-06
D000869,J96.00,Acute respiratory failure unspecified,Respiratory,High,2026-06-06
D000870,I50.9,Heart failure unspecified,Cardiovascular,Low,2026-06-06
D000871,S72.001,Fracture of femoral head,Musculoskeletal,High,2026-06-06
D000872,E11.9,Type 2 diabetes without complications,Endocrine,Medium,2026-06-06
D000873,G35,Multiple sclerosis,Neurological,Medium,2026-06-06
D000874,M79.3,Panniculitis,Musculoskeletal,Low,2026-06-06
D000875,J44.1,COPD with acute exacerbation,Respiratory,Critical,2026-06-06
D000876,B97.29,Other coronavirus as cause of disease,Infectious,Critical,2026-06-06
D000877,B97.29,Other coronavirus as cause of disease,Infectious,Critical,2026-06-06
D000878,A41.9,Sepsis unspecified,Infectious,Low,2026-06-06
D000879,I50.9,Heart failure unspecified,Cardiovascular,Medium,2026-06-06
D000880,K57.30,Diverticulosis of large intestine,Gastrointestinal,Low,2026-06-06
D000881,K92.1,Melena,Gastrointestinal,Medium,2026-06-06
D000882,I21.0,ST elevation myocardial infarction,Cardiovascular,Low,2026-06-06
D000883,E11.65,Type 2 diabetes with hyperglycemia,Endocrine,Medium,2026-06-06
D000884,K57.30,Diverticulosis of large intestine,Gastrointestinal,High,2026-06-06
D000885,J44.1,COPD with acute exacerbation,Respiratory,Low,2026-06-06
D000886,A41.9,Sepsis unspecified,Infectious,High,2026-06-06
D000887,J96.00,Acute respiratory failure unspecified,Respiratory,Low,2026-06-06
D000888,I50.9,Heart failure unspecified,Cardiovascular,High,2026-06-06
D000889,N39.0,Urinary tract infection,Renal,Critical,2026-06-06
D000890,F32.9,Major depressive disorder single episode,Mental Health,High,2026-06-06
D000891,B97.29,Other coronavirus as cause of disease,Infectious,Medium,2026-06-06
D000892,K92.1,Melena,Gastrointestinal,Critical,2026-06-06
D000893,K57.30,Diverticulosis of large intestine,Gastrointestinal,Medium,2026-06-06
D000894,J96.00,Acute respiratory failure unspecified,Respiratory,Critical,2026-06-06
D000895,I21.0,ST elevation myocardial infarction,Cardiovascular,Medium,2026-06-06
D000896,E11.65,Type 2 diabetes with hyperglycemia,Endocrine,Medium,2026-06-06
D000897,E11.9,Type 2 diabetes without complications,Endocrine,Low,2026-06-06
D000898,G35,Multiple sclerosis,Neurological,Medium,2026-06-06
D000899,J18.9,Pneumonia unspecified,Respiratory,High,2026-06-06
D000900,I50.9,Heart failure unspecified,Cardiovascular,Critical,2026-06-06
D000901,N18.3,Chronic kidney disease stage 3,Renal,Low,2026-06-06
D000902,G43.909,Migraine unspecified,Neurological,Low,2026-06-06
D000903,J18.9,Pneumonia unspecified,Respiratory,Low,2026-06-06
D000904,I50.9,Heart failure unspecified,Cardiovascular,Low,2026-06-06
D000905,B97.29,Other coronavirus as cause of disease,Infectious,Critical,2026-06-06
D000906,A41.9,Sepsis unspecified,Infectious,Low,2026-06-06
D000907,F41.1,Generalized anxiety disorder,Mental Health,High,2026-06-06
D000908,M79.3,Panniculitis,Musculoskeletal,Medium,2026-06-06
D000909,E11.9,Type 2 diabetes without complications,Endocrine,Low,2026-06-06
D000910,N39.0,Urinary tract infection,Renal,Critical,2026-06-06
D000911,J18.9,Pneumonia unspecified,Respiratory,High,2026-06-06
D000912,G43.909,Migraine unspecified,Neurological,Medium,2026-06-06
D000913,B97.29,Other coronavirus as cause of disease,Infectious,Low,2026-06-06
D000914,F32.9,Major depressive disorder single episode,Mental Health,Low,2026-06-06
D000915,N39.0,Urinary tract infection,Renal,Low,2026-06-06
D000916,J18.9,Pneumonia unspecified,Respiratory,Critical,2026-06-06
D000917,E11.9,Type 2 diabetes without complications,Endocrine,Medium,2026-06-06
D000918,N18.3,Chronic kidney disease stage 3,Renal,Medium,2026-06-06
D000919,K57.30,Diverticulosis of large intestine,Gastrointestinal,Critical,2026-06-06
D000920,N39.0,Urinary tract infection,Renal,Medium,2026-06-06
D000921,I50.9,Heart failure unspecified,Cardiovascular,Critical,2026-06-06
D000922,E11.9,Type 2 diabetes without complications,Endocrine,Critical,2026-06-06
D000923,K92.1,Melena,Gastrointestinal,Medium,2026-06-06
D000924,I21.0,ST elevation myocardial infarction,Cardiovascular,Low,2026-06-06
D000925,I10,Essential hypertension,Cardiovascular,Low,2026-06-06
D000926,G35,Multiple sclerosis,Neurological,Critical,2026-06-06
D000927,J44.1,COPD with acute exacerbation,Respiratory,Low,2026-06-06
D000928,F32.9,Major depressive disorder single episode,Mental Health,Low,2026-06-06
D000929,J18.9,Pneumonia unspecified,Respiratory,High,2026-06-06
D000930,E11.65,Type 2 diabetes with hyperglycemia,Endocrine,Critical,2026-06-06
D000931,N39.0,Urinary tract infection,Renal,High,2026-06-06
D000932,S72.001,Fracture of femoral head,Musculoskeletal,Low,2026-06-06
D000933,J18.9,Pneumonia unspecified,Respiratory,Medium,2026-06-06
D000934,I50.9,Heart failure unspecified,Cardiovascular,High,2026-06-06
D000935,K57.30,Diverticulosis of large intestine,Gastrointestinal,High,2026-06-06
D000936,B97.29,Other coronavirus as cause of disease,Infectious,Low,2026-06-06
D000937,J18.9,Pneumonia unspecified,Respiratory,Low,2026-06-06
D000938,I21.0,ST elevation myocardial infarction,Cardiovascular,Medium,2026-06-06
D000939,J96.00,Acute respiratory failure unspecified,Respiratory,High,2026-06-06
D000940,K57.30,Diverticulosis of large intestine,Gastrointestinal,Critical,2026-06-06
D000941,G43.909,Migraine unspecified,Neurological,High,2026-06-06
D000942,I10,Essential hypertension,Cardiovascular,High,2026-06-06
D000943,K92.1,Melena,Gastrointestinal,Medium,2026-06-06
D000944,J18.9,Pneumonia unspecified,Respiratory,Critical,2026-06-06
D000945,A41.9,Sepsis unspecified,Infectious,Critical,2026-06-06
D000946,N18.3,Chronic kidney disease stage 3,Renal,Critical,2026-06-06
D000947,M79.3,Panniculitis,Musculoskeletal,Critical,2026-06-06
D000948,J96.00,Acute respiratory failure unspecified,Respiratory,Low,2026-06-06
D000949,J44.1,COPD with acute exacerbation,Respiratory,Low,2026-06-06
D000950,J96.00,Acute respiratory failure unspecified,Respiratory,Low,2026-06-06
D000951,B97.29,Other coronavirus as cause of disease,Infectious,Critical,2026-06-06
D000952,G35,Multiple sclerosis,Neurological,Critical,2026-06-06
D000953,J96.00,Acute respiratory failure unspecified,Respiratory,Critical,2026-06-06
D000954,K57.30,Diverticulosis of large intestine,Gastrointestinal,Low,2026-06-06
D000955,J44.1,COPD with acute exacerbation,Respiratory,Critical,2026-06-06
D000956,M79.3,Panniculitis,Musculoskeletal,Low,2026-06-06
D000957,B97.29,Other coronavirus as cause of disease,Infectious,Critical,2026-06-06
D000958,I50.9,Heart failure unspecified,Cardiovascular,Low,2026-06-06
D000959,N18.3,Chronic kidney disease stage 3,Renal,High,2026-06-06
D000960,I21.0,ST elevation myocardial infarction,Cardiovascular,Medium,2026-06-06
D000961,K92.1,Melena,Gastrointestinal,Low,2026-06-06
D000962,B97.29,Other coronavirus as cause of disease,Infectious,Medium,2026-06-06
D000963,M79.3,Panniculitis,Musculoskeletal,High,2026-06-06
D000964,A41.9,Sepsis unspecified,Infectious,Medium,2026-06-06
D000965,F41.1,Generalized anxiety disorder,Mental Health,Low,2026-06-06
D000966,I21.0,ST elevation myocardial infarction,Cardiovascular,Medium,2026-06-06
D000967,F32.9,Major depressive disorder single episode,Mental Health,Critical,2026-06-06
D000968,M79.3,Panniculitis,Musculoskeletal,Medium,2026-06-06
D000969,I10,Essential hypertension,Cardiovascular,Critical,2026-06-06
D000970,K92.1,Melena,Gastrointestinal,Medium,2026-06-06
D000971,K92.1,Melena,Gastrointestinal,High,2026-06-06
D000972,I50.9,Heart failure unspecified,Cardiovascular,Medium,2026-06-06
D000973,F41.1,Generalized anxiety disorder,Mental Health,Critical,2026-06-06
D000974,A41.9,Sepsis unspecified,Infectious,Medium,2026-06-06
D000975,I10,Essential hypertension,Cardiovascular,Critical,2026-06-06
D000976,S72.001,Fracture of femoral head,Musculoskeletal,Critical,2026-06-06
D000977,I10,Essential hypertension,Cardiovascular,Critical,2026-06-06
D000978,S72.001,Fracture of femoral head,Musculoskeletal,High,2026-06-06
D000979,J18.9,Pneumonia unspecified,Respiratory,Critical,2026-06-06
D000980,I21.0,ST elevation myocardial infarction,Cardiovascular,Low,2026-06-06
D000981,A41.9,Sepsis unspecified,Infectious,Critical,2026-06-06
D000982,I50.9,Heart failure unspecified,Cardiovascular,Low,2026-06-06
D000983,I10,Essential hypertension,Cardiovascular,High,2026-06-06
D000984,F32.9,Major depressive disorder single episode,Mental Health,Medium,2026-06-06
D000985,S72.001,Fracture of femoral head,Musculoskeletal,High,2026-06-06
D000986,K57.30,Diverticulosis of large intestine,Gastrointestinal,Low,2026-06-06
D000987,E11.65,Type 2 diabetes with hyperglycemia,Endocrine,Critical,2026-06-06
D000988,K92.1,Melena,Gastrointestinal,Critical,2026-06-06
D000989,K57.30,Diverticulosis of large intestine,Gastrointestinal,Critical,2026-06-06
D000990,J18.9,Pneumonia unspecified,Respiratory,Low,2026-06-06
D000991,E11.65,Type 2 diabetes with hyperglycemia,Endocrine,Low,2026-06-06
D000992,K92.1,Melena,Gastrointestinal,High,2026-06-06
D000993,N39.0,Urinary tract infection,Renal,High,2026-06-06
D000994,J18.9,Pneumonia unspecified,Respiratory,Low,2026-06-06
D000995,J96.00,Acute respiratory failure unspecified,Respiratory,Critical,2026-06-06
D000996,J44.1,COPD with acute exacerbation,Respiratory,Critical,2026-06-06
D000997,J18.9,Pneumonia unspecified,Respiratory,High,2026-06-06
D000998,G43.909,Migraine unspecified,Neurological,Medium,2026-06-06
D000999,E11.9,Type 2 diabetes without complications,Endocrine,Low,2026-06-06
D001000,A41.9,Sepsis unspecified,Infectious,Medium,2026-06-06
D001001,S72.001,Fracture of femoral head,Musculoskeletal,Medium,2026-06-06
D001002,K92.1,Melena,Gastrointestinal,Low,2026-06-06
D001003,B97.29,Other coronavirus as cause of disease,Infectious,Low,2026-06-06
D001004,G35,Multiple sclerosis,Neurological,Low,2026-06-06
D001005,S72.001,Fracture of femoral head,Musculoskeletal,Critical,2026-06-06
D001006,G35,Multiple sclerosis,Neurological,Medium,2026-06-06
D001007,M79.3,Panniculitis,Musculoskeletal,Low,2026-06-06
D001008,F32.9,Major depressive disorder single episode,Mental Health,Low,2026-06-06
D001009,F41.1,Generalized anxiety disorder,Mental Health,Critical,2026-06-06
D001010,G35,Multiple sclerosis,Neurological,Critical,2026-06-06
D001011,F32.9,Major depressive disorder single episode,Mental Health,Medium,2026-06-06
D001012,G35,Multiple sclerosis,Neurological,Medium,2026-06-06
D001013,J44.1,COPD with acute exacerbation,Respiratory,Low,2026-06-06
D001014,A41.9,Sepsis unspecified,Infectious,High,2026-06-06
D001015,F32.9,Major depressive disorder single episode,Mental Health,Critical,2026-06-06
D001016,B97.29,Other coronavirus as cause of disease,Infectious,Medium,2026-06-06
D001017,N18.3,Chronic kidney disease stage 3,Renal,Critical,2026-06-06
D001018,K92.1,Melena,Gastrointestinal,High,2026-06-06
D001019,S72.001,Fracture of femoral head,Musculoskeletal,Medium,2026-06-06
D001020,J44.1,COPD with acute exacerbation,Respiratory,Critical,2026-06-06
D001021,G43.909,Migraine unspecified,Neurological,High,2026-06-06
D001022,F41.1,Generalized anxiety disorder,Mental Health,High,2026-06-06
D001023,F41.1,Generalized anxiety disorder,Mental Health,Medium,2026-06-06
D001024,E11.9,Type 2 diabetes without complications,Endocrine,Medium,2026-06-06
D001025,G43.909,Migraine unspecified,Neurological,High,2026-06-06
D001026,K57.30,Diverticulosis of large intestine,Gastrointestinal,Medium,2026-06-06
D001027,J96.00,Acute respiratory failure unspecified,Respiratory,High,2026-06-06
D001028,J18.9,Pneumonia unspecified,Respiratory,High,2026-06-06
D001029,F41.1,Generalized anxiety disorder,Mental Health,Critical,2026-06-06
D001030,G35,Multiple sclerosis,Neurological,Critical,2026-06-06
D001031,F41.1,Generalized anxiety disorder,Mental Health,High,2026-06-06
D001032,B97.29,Other coronavirus as cause of disease,Infectious,Low,2026-06-06
D001033,F32.9,Major depressive disorder single episode,Mental Health,Low,2026-06-06
D001034,I21.0,ST elevation myocardial infarction,Cardiovascular,Critical,2026-06-06
D001035,J44.1,COPD with acute exacerbation,Respiratory,Low,2026-06-06
D001036,I50.9,Heart failure unspecified,Cardiovascular,Medium,2026-06-06
D001037,N18.3,Chronic kidney disease stage 3,Renal,Medium,2026-06-06
D001038,N39.0,Urinary tract infection,Renal,High,2026-06-06
D001039,J44.1,COPD with acute exacerbation,Respiratory,Low,2026-06-06
D001040,N39.0,Urinary tract infection,Renal,Medium,2026-06-06
D001041,F41.1,Generalized anxiety disorder,Mental Health,Low,2026-06-06
D001042,K57.30,Diverticulosis of large intestine,Gastrointestinal,Critical,2026-06-06
D001043,J18.9,Pneumonia unspecified,Respiratory,Medium,2026-06-06
D001044,F41.1,Generalized anxiety disorder,Mental Health,Critical,2026-06-06
D001045,E11.65,Type 2 diabetes with hyperglycemia,Endocrine,High,2026-06-06
D001046,I50.9,Heart failure unspecified,Cardiovascular,Critical,2026-06-06
D001047,A41.9,Sepsis unspecified,Infectious,Critical,2026-06-06
D001048,K92.1,Melena,Gastrointestinal,Low,2026-06-06
D001049,I21.0,ST elevation myocardial infarction,Cardiovascular,High,2026-06-06
D001050,E11.9,Type 2 diabetes without complications,Endocrine,Critical,2026-06-06
D001051,E11.65,Type 2 diabetes with hyperglycemia,Endocrine,High,2026-06-06
D001052,G35,Multiple sclerosis,Neurological,Medium,2026-06-06
D001053,E11.9,Type 2 diabetes without complications,Endocrine,High,2026-06-06
D001054,S72.001,Fracture of femoral head,Musculoskeletal,Medium,2026-06-06
D001055,I10,Essential hypertension,Cardiovascular,Medium,2026-06-06
D001056,J96.00,Acute respiratory failure unspecified,Respiratory,Low,2026-06-06
